weight_run_a,weight_run_b,validation_video_accuracy,validation_video_f1,validation_video_auc
0.86,0.14,0.9488888888888889,0.9487750556792873,0.9907753086419754
0.87,0.13,0.9488888888888889,0.9487750556792873,0.9905777777777778
0.88,0.12,0.9488888888888889,0.9487750556792873,0.9903012345679012
0.89,0.10999999999999999,0.9466666666666667,0.9466666666666667,0.9902222222222222
0.9,0.09999999999999998,0.9466666666666667,0.9466666666666667,0.9900839506172839
0.91,0.08999999999999997,0.9466666666666667,0.9466666666666667,0.9899456790123458
0.92,0.07999999999999996,0.9466666666666667,0.9466666666666667,0.9895703703703704
0.93,0.06999999999999995,0.9466666666666667,0.9466666666666667,0.9893530864197531
0.9400000000000001,0.05999999999999994,0.9466666666666667,0.9466666666666667,0.9889777777777777
0.9500000000000001,0.04999999999999993,0.9466666666666667,0.9466666666666667,0.9885037037037037
0.96,0.040000000000000036,0.9466666666666667,0.9466666666666667,0.988246913580247
0.97,0.030000000000000027,0.9488888888888889,0.9487750556792873,0.9879111111111111
0.98,0.020000000000000018,0.9511111111111111,0.9511111111111111,0.9875950617283951
0.99,0.010000000000000009,0.9511111111111111,0.9511111111111111,0.9870419753086419
1.0,0.0,0.9511111111111111,0.9511111111111111,0.9863506172839507
